string_id,gene_name,uniprot_id,uniprot_ac,protein_fullname,degree,degree_cent,betweenness,closeness,eigenvector,pagerank,k_core,clustering_coeff,weighted_degree,community_id,community_size,participation_coeff,within_module_z,num_comm_connected,protein_role,label
9606.ENSP00000361980,PKIG,IPKG_HUMAN,Q9Y2B9,cAMP-dependent protein kinase inhibitor gamma,3.0,0.000188905,0.0,0.225152333,5.27e-06,1.66e-05,3.0,0.574008867,2517.0,4.0,2493.0,0.444444444,-0.592156475,1.0,peripheral,0
9606.ENSP00000361998,TAF7L,TAF7L_HUMAN,Q5H9L4,,22.0,0.001385303,0.0,0.235591823,0.000277827,3.49e-05,22.0,0.903972826,20720.0,7.0,1183.0,0.0,-0.290034303,0.0,peripheral,0
9606.ENSP00000362010,ANXA7,ANXA7_HUMAN,P20073,Annexin A7,6.0,0.00037781,1.91e-05,0.22624695,3.85e-06,2.58e-05,5.0,0.170644099,5149.0,25.0,998.0,0.611111111,-0.74530225,2.0,peripheral,0
9606.ENSP00000362058,NDUFS5,NDUS5_HUMAN,O43920,,97.0,0.006107928,0.000202503,0.248108382,0.001173262,0.000124334,64.0,0.641701348,91535.0,12.0,518.0,0.040386864,1.852433641,1.0,peripheral,0
9606.ENSP00000362103,POU3F1,PO3F1_HUMAN,Q03052,"POU domain, class 3, transcription factor 1",5.0,0.000314842,9.79e-06,0.208852931,1.05e-06,2.57e-05,4.0,0.269111736,4235.0,20.0,1252.0,0.56,-0.591359487,2.0,peripheral,0
9606.ENSP00000362109,FRS3,FRS3_HUMAN,O43559,Fibroblast growth factor receptor substrate 3,7.0,0.000440778,0.0,0.246330168,5.86e-05,2.07e-05,7.0,0.547353967,5955.0,1.0,2329.0,0.244897959,-0.563421662,1.0,peripheral,0
9606.ENSP00000362110,SF3A3,SF3A3_HUMAN,D3DPT5,Splicing factor 3A subunit 3,122.0,0.007682136,0.000235147,0.257558377,0.00174596,0.0001578,55.0,0.481640798,112632.0,11.0,893.0,0.064095673,2.487632192,3.0,peripheral,1
9606.ENSP00000362111,TSPAN6,TSN6_HUMAN,O43657,Tetraspanin-6,1.0,6.3e-05,0.0,0.19583861,2.3e-06,1.13e-05,1.0,0.0,741.0,2.0,56.0,0.0,-1.458752673,0.0,peripheral,0
9606.ENSP00000362122,TNMD,TNMD_HUMAN,Q9H2S6,Tenomodulin,7.0,0.000440778,0.000224576,0.210553209,1.4e-06,4.12e-05,5.0,0.156445632,5600.0,1.0,2329.0,0.244897959,-0.563421662,1.0,peripheral,0
9606.ENSP00000362131,RPA4,RFA4_HUMAN,Q13156,Replication protein A 30 kDa subunit,21.0,0.001322335,2.38e-07,0.230368388,3.75e-05,3.88e-05,18.0,0.540608141,17885.0,5.0,888.0,0.0,-0.167150025,0.0,peripheral,0
9606.ENSP00000362153,GNL2,NOG2_HUMAN,Q13823,Nucleolar GTP-binding protein 2,173.0,0.010893521,4.35e-05,0.259828516,0.033147642,0.000137012,87.0,0.421516684,152710.0,17.0,842.0,0.067760366,0.855093809,4.0,peripheral,1
9606.ENSP00000362181,NCR2,NCTR2_HUMAN,O95944,Natural cytotoxicity triggering receptor 2,32.0,0.002014986,4.46e-05,0.24121477,2.87e-05,6.81e-05,22.0,0.398561154,27307.0,1.0,2329.0,0.060546875,0.15640162,1.0,peripheral,0
